-0.05764524,0.048490092,0.06802284,0.36453685,0.22242838,0.09148305,0.19719988
-0.037135743,0.047665767,0.07142917,0.3723355,0.20601994,0.07436583,0.1807768
-0.014934234,0.046877556,0.07364528,0.38046774,0.1888812,0.058407847,0.16334501
0.005858816,0.046106488,0.074375175,0.38818958,0.16996792,0.042786248,0.14444713
0.025180493,0.04561965,0.07375845,0.39655346,0.15131149,0.031008247,0.12544258
0.048841715,0.045054473,0.07154883,0.40536767,0.1344553,0.020797653,0.106266536
0.0731435,0.043912575,0.068521656,0.41237503,0.11718449,0.009609193,0.08651397
0.09953586,0.042700678,0.064238235,0.41613874,0.1006091,-0.0010622442,0.06673509
0.13054362,0.04120633,0.058621265,0.4184572,0.085938886,-0.011550009,0.047945745
0.1593544,0.040629916,0.051415842,0.41831398,0.07014747,-0.023866266,0.02254942
0.18399177,0.04054167,0.043671608,0.41337544,0.056140758,-0.029632576,-0.0054937303
0.20388737,0.039002225,0.03160896,0.40329677,0.042002887,-0.033792965,-0.035903946
0.21699041,0.03537851,0.019724742,0.3866346,0.031056825,-0.036654487,-0.059058443
0.22115797,0.02781929,0.009579018,0.3647716,0.021994732,-0.03480599,-0.08388005
0.21504036,0.018871255,-0.0009393841,0.33895737,0.015344664,-0.036397204,-0.115131676
0.19791315,0.0076185316,-0.010732576,0.30789745,0.009730719,-0.037539892,-0.1382919
0.17272703,-0.01127708,-0.019969001,0.2720374,0.0071603134,-0.037630633,-0.14887002
0.13838597,-0.026726775,-0.032408163,0.23137692,-0.0032097846,-0.04033353,-0.1479195
0.10052572,-0.040969666,-0.044721812,0.18944359,-0.013320722,-0.04409369,-0.146278
0.06428714,-0.0528372,-0.054645956,0.1456037,-0.023701593,-0.04588995,-0.14640489
0.032945488,-0.061355323,-0.06388971,0.10038814,-0.03461221,-0.042883202,-0.1469315
0.010000117,-0.0648892,-0.073628426,0.059710205,-0.045712046,-0.039070643,-0.14290193
-0.0076561198,-0.06848146,-0.080871135,0.004141855,-0.055853076,-0.033162795,-0.13846397
-0.029578812,-0.06413438,-0.085208,-0.057937894,-0.063220896,-0.024572156,-0.13004464
-0.049614914,-0.05336047,-0.08528584,-0.1268469,-0.070013665,-0.014167294,-0.11607444
-0.06170427,-0.038334623,-0.07990183,-0.18958285,-0.07712094,-0.0021507218,-0.09370133
-0.06860454,-0.02284458,-0.0673296,-0.26188117,-0.08433648,0.0131310895,-0.07209203
-0.056601338,0.0044620335,-0.04735291,-0.3385439,-0.09073325,0.026416052,-0.04860191
-0.037273876,0.041033737,-0.020605251,-0.41316164,-0.09944811,0.03970857,-0.023396775
-0.020446412,0.0818744,0.008573346,-0.48537564,-0.11554291,0.054905258,0.0082408935
0.0027945265,0.12382351,0.031244844,-0.5539566,-0.14267707,0.074722186,0.034883227
0.031239599,0.1646418,0.05146563,-0.61575824,-0.17509225,0.10112804,0.058528922
0.05864535,0.2032486,0.08007135,-0.6716115,-0.2084173,0.14130804,0.083438024
0.09303143,0.24066173,0.11341241,-0.7288372,-0.24178913,0.18935156,0.112315066
0.12545542,0.27832222,0.16110049,-0.7800545,-0.2727129,0.24164075,0.1544314
0.15891056,0.31076592,0.23016644,-0.8255821,-0.29673195,0.30425888,0.21068005
0.18944038,0.33533585,0.3058169,-0.8635587,-0.3134571,0.36386162,0.26687992
0.22273788,0.35524815,0.37681845,-0.89352554,-0.32590255,0.41352278,0.3095136
0.25168136,0.36610597,0.44262075,-0.9143756,-0.335678,0.45074335,0.32525352
0.2784384,0.36457276,0.5014051,-0.92642385,-0.34344643,0.4742449,0.3392457
0.30044526,0.35612345,0.55057144,-0.9247871,-0.34475937,0.48528683,0.35327315
0.32140192,0.3416059,0.5878712,-0.91162217,-0.33786073,0.48672295,0.360652
0.34195617,0.32242906,0.6123131,-0.8836481,-0.3219743,0.47115657,0.3622885
0.36010835,0.30000496,0.61928844,-0.8353966,-0.30052075,0.43785557,0.35209984
0.3750759,0.27368724,0.6114344,-0.773728,-0.2700992,0.39084494,0.32784674
0.38652512,0.24225299,0.58707356,-0.6986471,-0.23393014,0.3301332,0.28777108
0.39254984,0.20395343,0.5462508,-0.61156327,-0.18583477,0.26634163,0.22856204
0.39201412,0.15972184,0.49002343,-0.5139286,-0.13507462,0.1944009,0.16457528
0.38214442,0.1144491,0.41831028,-0.4085247,-0.08199597,0.113568254,0.100026235
0.3610498,0.07212882,0.33156532,-0.30433246,-0.019889906,0.03346161,0.044788387
0.3278252,0.044055723,0.22935647,-0.20305401,0.024559729,-0.046733297,-0.011785731
0.28185353,0.030418128,0.13016742,-0.10667892,0.07712837,-0.12129005,-0.06753221
0.22254673,0.010372102,0.048539575,-0.03773723,0.15458958,-0.18469092,-0.10917881
0.1561899,-0.033121612,-0.03346826,0.022205513,0.23881838,-0.25679368,-0.15525316
0.09649319,-0.09184548,-0.12034634,0.10982609,0.3185965,-0.33246982,-0.21519038
0.016696833,-0.16127445,-0.22905135,0.21816391,0.41018206,-0.41951072,-0.29182914
-0.08427913,-0.239961,-0.38054955,0.328961,0.5033329,-0.51580167,-0.3672527
-0.19687188,-0.32042485,-0.5358096,0.44362372,0.5901375,-0.6093184,-0.4495946
-0.32047564,-0.3956316,-0.69069195,0.5574174,0.6675186,-0.6937206,-0.5248891
-0.44550088,-0.4624222,-0.84210753,0.66042703,0.73835087,-0.768754,-0.5891465
-0.5650474,-0.517485,-0.9849237,0.74431777,0.7905803,-0.830594,-0.64124346
-0.6704616,-0.55965996,-1.1160119,0.81455,0.8236146,-0.878679,-0.6745397
-0.7561346,-0.5873008,-1.2303482,0.869249,0.8376545,-0.9118064,-0.6920335
-0.8179858,-0.59739673,-1.3223056,0.90286183,0.8326725,-0.9296298,-0.69645226
-0.85438025,-0.59038985,-1.3880346,0.9138726,0.80948824,-0.9309056,-0.6887615
-0.8660581,-0.567289,-1.428186,0.90224624,0.76700264,-0.9151088,-0.66448224
-0.8530294,-0.5284311,-1.4424824,0.87009007,0.7020986,-0.88178754,-0.62788975
-0.81481814,-0.47520876,-1.4294555,0.8196715,0.6229279,-0.8326377,-0.5873791
-0.7562896,-0.41301674,-1.3892008,0.7495524,0.53343886,-0.7701178,-0.5373583
-0.6797295,-0.33947378,-1.3207134,0.66304195,0.43616214,-0.69636774,-0.4826809
-0.59028953,-0.26043934,-1.2294375,0.56678003,0.3352104,-0.61357,-0.4313521
-0.49378434,-0.17892978,-1.1179029,0.46151924,0.24927697,-0.5250902,-0.35054645
-0.39752367,-0.1046586,-0.9883406,0.3544613,0.17573863,-0.4367543,-0.26334912
-0.30405602,-0.04579216,-0.844819,0.24841085,0.10474844,-0.350412,-0.16603293
-0.23126161,-0.004034646,-0.6911847,0.1422565,0.047442846,-0.2628911,-0.077723116
-0.16991761,0.033902228,-0.531275,0.060591858,-0.0041316003,-0.17839852,-0.0076398626
-0.1302267,0.07997526,-0.37110567,-0.0043498576,-0.05572129,-0.1025692,0.0396675
-0.11936862,0.125115,-0.22683316,-0.04910013,-0.10700204,-0.04775811,0.07553232
-0.11570818,0.16580093,-0.09954819,-0.08985159,-0.14551514,-0.006552331,0.10830706
-0.116045244,0.2043563,-0.01056774,-0.14414024,-0.16926536,0.03719023,0.13194539
-0.11144874,0.23550875,0.056493573,-0.18583244,-0.18515089,0.0832216,0.14278412
-0.11027532,0.25751972,0.12606789,-0.2118648,-0.19250527,0.12039722,0.13790727
-0.11155317,0.2685747,0.18305698,-0.22684586,-0.19232348,0.15662396,0.12514083
-0.109644614,0.27086532,0.230849,-0.23209602,-0.1891495,0.21166372,0.10245391
-0.108007185,0.2693841,0.2703478,-0.23228408,-0.18292534,0.2648904,0.072125986
-0.10796424,0.2646492,0.29622978,-0.22264412,-0.17424515,0.31097257,0.04579464
-0.106094815,0.25757515,0.30603635,-0.2066597,-0.16582772,0.35077694,0.018053278
-0.101354726,0.25013012,0.30652142,-0.1825989,-0.15538508,0.38572145,-0.004650295
-0.091809,0.2419387,0.29936957,-0.15246911,-0.14353263,0.4142795,-0.02529703
-0.086869664,0.23331581,0.28614232,-0.117798716,-0.13050926,0.43756157,-0.04865034
-0.084293194,0.22953822,0.26995876,-0.090001136,-0.11518832,0.45773417,-0.06966834
-0.08344964,0.22478543,0.25175482,-0.06665707,-0.09745618,0.47818813,-0.089160755
-0.084517516,0.22122,0.23417631,-0.03819808,-0.08207401,0.4928565,-0.093983024
-0.087160476,0.21920325,0.22020105,-0.010246193,-0.06266189,0.50741744,-0.09682158
-0.09017687,0.21888952,0.2012003,0.017352939,-0.042009674,0.520746,-0.09852691
-0.09307776,0.21997698,0.18961504,0.039908104,-0.0240044,0.5317195,-0.092859894
-0.09466653,0.22352375,0.18537124,0.049766522,-0.00965067,0.5412512,-0.0723986
-0.09451992,0.22742568,0.18962035,0.04870092,0.0016208291,0.55181277,-0.041271836
-0.089759864,0.231155,0.20413846,0.036429875,0.01463493,0.56306803,0.0024763271
-0.08383346,0.23566698,0.23333618,0.015881319,0.026072681,0.5755588,0.047770217
-0.07342542,0.24163069,0.27672076,-0.0045744237,0.034799118,0.5889399,0.09779417
-0.055050172,0.24759965,0.33406788,-0.038934972,0.03725812,0.6032309,0.14852002
-0.02797424,0.25378203,0.40268648,-0.08562873,0.036649294,0.6185106,0.21565987
0.0069737583,0.26240128,0.48162973,-0.1294361,0.03270769,0.634124,0.3061056
