epoch,train_mae,train_mse,val_mae,val_mse,pred_loss,backward_loss
0,0.7640397548675537,1.012490153312683,0.6649017333984375,0.6473952531814575,0.7643788456916809,0.06823670119047165
500,0.41981324553489685,0.30655190348625183,0.3890063762664795,0.23501645028591156,0.4199787676334381,0.1850752830505371
1000,0.3840324878692627,0.2387450635433197,0.38326263427734375,0.22794532775878906,0.3840782344341278,0.1074254959821701
1500,0.37412941455841064,0.22693699598312378,0.38174426555633545,0.22643889486789703,0.3741269111633301,0.08532708138227463
2000,0.3696763515472412,0.22290240228176117,0.382612943649292,0.2267867475748062,0.3696609139442444,0.0786929577589035
2500,0.37005114555358887,0.22316956520080566,0.3823119103908539,0.22652386128902435,0.37006455659866333,0.07832474261522293
3000,0.3699728548526764,0.2230619192123413,0.3824831545352936,0.22685378789901733,0.3699961006641388,0.07765085995197296
3500,0.3700379729270935,0.22310049831867218,0.3819350004196167,0.22614648938179016,0.37001705169677734,0.07728268206119537
4000,0.3670213520526886,0.2206554412841797,0.38340702652931213,0.2277880758047104,0.36702868342399597,0.07390276342630386
4500,0.3674272298812866,0.22094275057315826,0.383706659078598,0.22814802825450897,0.36738958954811096,0.0738329365849495
5000,0.36736175417900085,0.22091925144195557,0.3832997977733612,0.22764654457569122,0.3673642873764038,0.07372868061065674
5500,0.36740410327911377,0.220965176820755,0.38281646370887756,0.22709456086158752,0.36745119094848633,0.07355055212974548
6000,0.36733877658843994,0.22089852392673492,0.38306060433387756,0.22734296321868896,0.3673963248729706,0.07350730150938034
6500,0.36732032895088196,0.2208930253982544,0.38320645689964294,0.22754809260368347,0.3673243224620819,0.07341590523719788
7000,0.36734744906425476,0.22089816629886627,0.3835412859916687,0.22791285812854767,0.3673912286758423,0.07335282862186432
7500,0.36737486720085144,0.22094210982322693,0.3827979564666748,0.227030411362648,0.36740097403526306,0.07327289879322052
8000,0.3673303723335266,0.22087351977825165,0.3834618926048279,0.22782491147518158,0.3673723042011261,0.0732513889670372
8500,0.3673226237297058,0.22086435556411743,0.3833298683166504,0.22766844928264618,0.3673403561115265,0.07323861867189407
9000,0.3672330677509308,0.22074246406555176,0.3838654160499573,0.22841766476631165,0.3671822249889374,0.07332466542720795
9500,0.36737123131752014,0.220925435423851,0.3830682635307312,0.22738058865070343,0.36740973591804504,0.07320885360240936
10000,0.3673136532306671,0.22087785601615906,0.38317498564720154,0.22750777006149292,0.3673192858695984,0.07320740073919296
10500,0.3673076927661896,0.22086651623249054,0.3832210302352905,0.22752103209495544,0.3673161268234253,0.0732116550207138
11000,0.3673363924026489,0.22087430953979492,0.38349515199661255,0.2278830111026764,0.3673211336135864,0.07321467250585556
11500,0.36744868755340576,0.22098039090633392,0.3827264606952667,0.226975217461586,0.3673996031284332,0.07314407825469971
12000,0.3673783242702484,0.220891073346138,0.38368162512779236,0.22809697687625885,0.36735403537750244,0.07318594306707382
12500,0.36737534403800964,0.22092747688293457,0.3828035295009613,0.22707022726535797,0.3673442602157593,0.07318101078271866
13000,0.36731085181236267,0.22087128460407257,0.3833456039428711,0.22767531871795654,0.36732593178749084,0.07317933440208435
13500,0.3674241304397583,0.22091594338417053,0.38378486037254333,0.22823727130889893,0.36743372678756714,0.07312633842229843
14000,0.36742204427719116,0.22096003592014313,0.38291096687316895,0.22716237604618073,0.3674018681049347,0.07317113876342773
14500,0.3673056960105896,0.22087162733078003,0.3834010660648346,0.22775188088417053,0.3673049807548523,0.0732271671295166
15000,0.36731597781181335,0.22086329758167267,0.38329100608825684,0.22763870656490326,0.3673449754714966,0.07322163134813309
15500,0.36721089482307434,0.22078807651996613,0.38347145915031433,0.22768685221672058,0.3672204315662384,0.07318655401468277
16000,0.3673061430454254,0.2208675593137741,0.3831452429294586,0.22743776440620422,0.3673098683357239,0.07314014434814453
16500,0.3673180937767029,0.22086910903453827,0.38339322805404663,0.2277594804763794,0.3673437237739563,0.07323213666677475
17000,0.3673853576183319,0.22089172899723053,0.38361647725105286,0.22799311578273773,0.3674238920211792,0.07315904647111893
17500,0.3673512935638428,0.22091200947761536,0.383052259683609,0.22734257578849792,0.3673883378505707,0.07315734773874283
