0,1,2,3,4,5,6,7,8,9
1.5832654,1.0950965,1.0898402,1.1184233,1.0919868,1.092487,1.0905681,1.0915416,1.0925963,1.0909605
1.0925856,1.2834722,1.0933644,1.0963341,1.0943912,1.1013317,1.0949717,1.1394325,1.0990981,1.0952932
1.1352357,1.1415968,1.3827579,1.1366401,1.137998,1.1412286,1.2089914,1.1369642,1.1530602,1.1383921
1.2676299,1.3571827,1.2677705,1.6438665,1.269598,1.2753979,1.2706221,1.2688078,1.2708839,1.2683265
1.0473146,1.04954,1.0483998,1.0470659,1.3217213,1.0488937,1.0475136,1.052364,1.0493584,1.1171805
0.92940974,0.9828668,0.9303015,0.92985535,0.9293548,1.0289267,0.92964447,0.9317931,0.9302809,0.931118
1.1575907,1.1639632,1.1588684,1.1844434,1.1577116,1.1578646,1.5776129,1.1593088,1.157279,1.1581532
1.0402988,1.1019797,1.0400759,1.0403006,1.0429192,1.0437242,1.0426658,1.4034495,1.0491936,1.0414377
1.0327368,1.0349954,1.0333114,1.0329262,1.0347399,1.1046056,1.0344534,1.0359535,1.2955204,1.0360482
1.0567131,1.0575699,1.057054,1.057286,1.0602236,1.1226474,1.0578167,1.0572963,1.0581124,1.3410231
