0,1,2,3,4,5,6,7,8,9
0.919216,0.057144728,-0.01948944,0.2696262,0.06014968,-0.06327506,0.027117971,-0.017387893,-0.08143503,0.024339493
-0.011162961,0.6469873,0.02720409,0.08033628,0.061492085,-0.13762158,0.06576936,-0.3362352,-0.11872268,-0.041780096
-0.010919383,-0.06951693,0.68904346,0.023244336,0.00017668343,0.07076713,-0.38971883,0.0018376878,0.19397141,0.0058068675
-0.03231861,0.38021573,0.0076621985,0.7076094,0.06409445,-0.119371675,0.081337,-0.011400988,-0.061331365,-0.0018862375
0.035962425,0.03331352,-0.0078070937,-0.012032224,0.78395516,0.028128875,2.749014e-05,0.06610576,-0.033941355,0.4300509
0.018246917,-0.41690418,0.04764123,0.01608341,-0.025026055,0.5736117,-0.018415743,0.0132142445,-0.0058095735,-0.020960804
0.021712512,0.07951585,-0.06012621,0.24337392,0.031150067,0.018202182,0.81967825,0.052269746,-0.005636385,0.033477366
0.025193606,-0.37330386,-0.000103850965,-0.02245897,-0.086334825,0.07524196,-0.08434027,0.872794,0.15248951,-0.04040421
0.0048904563,-0.06101601,0.01862508,0.010059196,0.06899688,-0.43685228,0.055875637,-0.056624375,0.778167,0.034033187
0.0045853294,0.013592681,0.0259506,-0.030100673,0.09586877,-0.41428316,0.030502306,-0.00554373,-0.041070852,0.78759545
