0,1,2,3,4,5,6,7,8,9
0.07242167,-3.0519276,-3.5696003,-1.6831855,-3.1244383,-3.0740566,-3.408556,-3.2365203,-2.9857218,-3.3155246
-4.044626,-0.58529186,-3.8050985,-3.0722136,-3.350401,-2.5265121,-3.3067045,-1.4181172,-2.6455202,-3.2695494
-3.1562567,-2.8250852,-0.43012667,-2.994257,-2.8592615,-2.6372805,-1.2853333,-3.0719585,-2.116051,-2.9280229
-3.433246,-1.0874069,-3.4346712,-0.12802672,-3.1002965,-2.47443,-2.9508367,-3.2510033,-3.036497,-3.2907488
-3.5339565,-3.2766771,-3.3657722,-3.6265554,-0.3543856,-3.2355406,-3.5569754,-2.8826547,-3.2675633,-1.1856397
-3.7870696,-1.3738585,-3.6304953,-3.5821543,-3.8373346,-0.968537,-3.7581882,-3.2866082,-3.5602047,-3.387021
-3.689135,-2.9895792,-3.3458881,-1.71027,-3.5311913,-3.5655632,-0.044631243,-3.3656564,-3.7648883,-3.4772415
-3.3542929,-1.483752,-3.4102535,-3.3821414,-2.9884,-2.9388084,-3.1030693,-0.16672778,-2.5108807,-3.2470202
-3.711656,-3.252501,-3.5236068,-3.5902781,-3.2387743,-1.1935836,-3.273006,-3.1144338,-0.39377272,-3.1863387
-4.03486,-3.7107973,-3.8167272,-3.7907069,-2.909452,-1.2093929,-3.6248176,-3.691753,-3.472946,-0.3260808
