-0.7042527,-0.8266855,0.4694858,-0.8901156,-0.4636769,1.2596109,-1.0186805,0.4768106,-0.29004413,-1.1926167
-0.678212,-0.9569562,0.5634518,-1.0623052,-0.46739075,1.3062336,-0.8768371,0.42986074,-0.28211886,-1.1868017
-0.624166,-0.7260546,0.4899659,-1.0219438,-0.41698772,1.122653,-0.8539801,0.5858732,-0.25852165,-0.87023735
-0.6491862,-0.6629902,0.47203723,-0.91054785,-0.48338804,1.065393,-0.896004,0.46315533,-0.24078952,-0.7272503
-0.68292534,-0.6912535,0.40236434,-0.7877399,-0.46156815,1.1174724,-0.8680987,0.53018284,-0.19533382,-0.9504522
-0.68853396,-0.63858837,0.43462422,-0.73473096,-0.44094428,0.9897348,-0.8170566,0.49322176,-0.20466676,-0.7589513
-0.6420868,-0.6533502,0.47326764,-0.8351364,-0.43278626,1.036675,-0.84006673,0.47153506,-0.23548263,-0.7538462
-0.5406736,-0.59779006,0.3817074,-0.69427025,-0.2725939,0.86728525,-0.7622108,0.3866449,-0.19542058,-0.7197538
-0.47518364,-0.5885623,0.43452182,-0.63834107,-0.45403638,0.89284444,-0.6662844,0.41591617,-0.21684378,-0.6773165
-0.5812656,-0.67931926,0.38108242,-0.6521394,-0.40388653,0.9130836,-0.6848807,0.4111298,-0.17336573,-0.52477187
-0.513057,-0.59720635,0.32347214,-0.49026808,-0.40206102,0.74194914,-0.77615184,0.47346103,-0.20705645,-0.6932022
-0.5693141,-0.4569692,0.36742178,-0.7383802,-0.40186074,0.9685148,-0.47569287,0.5556591,-0.15686451,-0.4763118
-0.43620923,-0.55446345,0.30047286,-0.6878704,-0.3318124,0.7862954,-0.6687779,0.3918667,-0.19240543,-0.49216938
-0.4610166,-0.46808624,0.31036112,-0.5614873,-0.3401311,0.72591364,-0.5720996,0.32638603,-0.15751134,-0.6739239
-0.37666756,-0.3671332,0.20041765,-0.6824784,-0.27303162,0.8653182,-0.67395014,0.35061726,-0.20550741,-0.4580123
-0.4237667,-0.21003923,0.2627394,-0.36566302,-0.28284952,0.9263053,-0.5859379,0.36731023,-0.17673776,-0.46558118
-0.41455716,-0.30599606,0.20500621,-0.39274916,-0.22381786,0.81625205,-0.4903546,0.25697157,-0.1914183,-0.29666194
-0.33426684,-0.26764727,0.047821283,-0.31742638,-0.21822786,0.50069255,-0.47857794,0.38222224,-0.19606107,-0.4861305
-0.3495217,-0.21912262,0.21739267,-0.3125302,-0.22474268,0.6706571,-0.45521978,0.36564025,-0.1609371,-0.40533018
-0.25032496,-0.29058647,0.1486563,-0.36561242,-0.16680293,0.4591035,-0.41085172,0.3632414,-0.123372905,-0.33301517
-0.42122006,-0.42574704,0.1269341,-0.49342385,-0.28862876,0.5488207,-0.33542892,0.44211283,-0.16673687,-0.38622233
-0.24086823,-0.32656842,0.07273835,-0.5406296,-0.20116958,0.54627216,-0.30778074,0.38952115,-0.15967198,-0.27007252
-0.29079407,-0.33545554,-0.0075721797,-0.6340474,-0.32443485,0.44415098,-0.42543277,0.3492653,-0.10914948,-0.5482853
-0.3304941,-0.26007402,0.1812519,-0.52565193,-0.16934888,0.7262852,-0.38582775,0.31019214,-0.12764472,-0.25003853
-0.3990647,-0.3720347,-0.026117878,-0.45482555,-0.15946943,0.62344056,-0.50871426,0.25533655,-0.14789595,-0.37626418
-0.44141397,-0.37659323,0.034048542,-0.3812004,-0.20815763,0.56966645,-0.5457902,0.3512507,-0.1633901,-0.4381107
-0.33144033,-0.38952798,0.024019806,-0.5079583,-0.16649096,0.7025555,-0.5796689,0.39236295,-0.14752613,-0.65757996
-0.5140306,-0.47178608,0.13382614,-0.46066585,-0.2278367,0.652997,-0.43282884,0.21582097,-0.12940024,-0.54230875
-0.48812303,-0.37789062,0.03625101,-0.41741267,-0.25977302,0.8052636,-0.42190957,0.2725614,-0.17556664,-0.546388
-0.37651142,-0.32840696,0.09509182,-0.37182716,-0.3057032,0.794229,-0.40697885,0.25870103,-0.15174626,-0.50009537
-0.33483264,-0.22326247,0.08069502,-0.4345884,-0.34660605,0.555412,-0.48813844,0.19085908,-0.18285002,-0.36852816
-0.34528917,-0.25975868,0.10020454,-0.48793134,-0.19159919,0.7908055,-0.4560632,0.32318208,-0.18316615,-0.30114532
