0,1,2,3,4,5,6,7
0.479725,-2.1823857,-3.4819582,-3.4061055,-3.5002995,-3.3197455,-2.2676728,-2.0094402
-2.0622225,0.54411876,-2.3971877,-3.5208755,-3.5459673,-3.5099247,-3.37198,-2.2022595
-2.130698,-1.8566629,0.38044822,-2.2190537,-3.4272368,-3.4222136,-3.4097552,-3.258057
-3.2272005,-2.246324,-2.1630206,0.54509044,-2.417743,-3.3520966,-3.5259366,-3.206811
-3.3949213,-3.334461,-2.3368258,-1.936432,0.41940343,-2.0219595,-3.4649644,-3.7369747
-3.4608583,-3.480332,-3.5637774,-2.3885303,-2.1267645,0.5834186,-2.3058848,-3.661098
-3.4841466,-3.5039415,-3.397552,-3.2108603,-2.4693062,-2.1658516,0.637915,-2.3944254
-2.273952,-3.3514369,-3.4837987,-3.4462845,-3.4092462,-2.2557836,-2.0919712,0.49919283
