epoch,train_mae,train_mse,val_mae,val_mse,pred_loss,backward_loss
0,0.8199632167816162,1.0124163627624512,0.8470742106437683,1.0788285732269287,0.8202447295188904,0.08125455677509308
500,0.2639743685722351,0.16211219131946564,0.27687540650367737,0.16611133515834808,0.2643597722053528,0.12362844496965408
1000,0.18992707133293152,0.10534200072288513,0.2151697427034378,0.11899910867214203,0.18997694551944733,0.07330000400543213
1500,0.17855647206306458,0.10010005533695221,0.2111874371767044,0.11664652824401855,0.17857542634010315,0.0641469806432724
2000,0.1744837611913681,0.09849824011325836,0.2108761966228485,0.11637486517429352,0.1744919866323471,0.06020044535398483
2500,0.17238657176494598,0.09775456041097641,0.21118229627609253,0.11643564701080322,0.17233681678771973,0.05825375020503998
3000,0.17239107191562653,0.09775637090206146,0.21137557923793793,0.11653322726488113,0.17240284383296967,0.05826163664460182
3500,0.17233534157276154,0.09773992002010345,0.21126066148281097,0.11648760735988617,0.17237462103366852,0.05818157270550728
4000,0.1723220944404602,0.0977264791727066,0.2113432139158249,0.11652258038520813,0.17232847213745117,0.058156274259090424
4500,0.1723000407218933,0.09772737324237823,0.21126295626163483,0.11647335439920425,0.1722971349954605,0.05814562365412712
5000,0.17231397330760956,0.09773025661706924,0.21113383769989014,0.11640139669179916,0.17230606079101562,0.058118660002946854
5500,0.17233586311340332,0.09773896634578705,0.2113022357225418,0.11647016555070877,0.17234006524085999,0.05809755623340607
6000,0.17236919701099396,0.09773442149162292,0.2112835794687271,0.11649499833583832,0.17235669493675232,0.05814104527235031
6500,0.17230643332004547,0.09772516041994095,0.2113686352968216,0.11653918772935867,0.1723022311925888,0.05815529823303223
7000,0.17236630618572235,0.0977235808968544,0.21162652969360352,0.1166870966553688,0.17235854268074036,0.05810954049229622
7500,0.17233210802078247,0.09772656857967377,0.21140733361244202,0.11653865873813629,0.1723264455795288,0.058149442076683044
8000,0.17231231927871704,0.09772389382123947,0.21141502261161804,0.11654415726661682,0.17232808470726013,0.0581052303314209
8500,0.1722889542579651,0.09771588444709778,0.21134911477565765,0.11654947698116302,0.17230716347694397,0.058115385472774506
9000,0.17231516540050507,0.0977257713675499,0.21136800944805145,0.11651529371738434,0.17234337329864502,0.05813157185912132
