0,1,2,3,4,5,6,7
-0.14537482,-2.0492074,-3.3227932,-3.2470999,-3.3408775,-3.1624632,-2.130131,-1.8890038
-1.9183577,-0.11792659,-2.2399747,-3.3457263,-3.3705673,-3.334523,-3.1974049,-2.0542202
-1.9860706,-1.7261713,-0.1517678,-2.0697854,-3.2516673,-3.2469075,-3.2344434,-3.083978
-3.085111,-2.130099,-2.046755,-0.14656414,-2.2908502,-3.2087002,-3.3815908,-3.0642867
-3.1968806,-3.136889,-2.1604688,-1.7773975,-0.11939313,-1.8598549,-3.2669299,-3.5376427
-3.3220766,-3.341353,-3.4248068,-2.2702663,-2.017409,-0.14444557,-2.1879833,-3.521657
-3.3636515,-3.383314,-3.2774308,-3.0923316,-2.363705,-2.0724552,-0.15644696,-2.2905161
-2.0960693,-3.1519146,-3.2833986,-3.2463396,-3.209592,-2.078976,-1.9283372,-0.10171005
