0.24887916,0.1969687,-0.2065372,-0.16712058,0.19750652,-0.19531164,-0.15495518,-0.07579593
0.24042788,0.17506209,-0.14878856,-0.13195045,0.1706185,-0.16087131,-0.109760076,-0.050557308
0.23400554,0.17261383,-0.14782178,-0.12543759,0.09605092,-0.13952547,-0.09908891,-0.027820304
0.19422343,0.13035534,-0.10586805,-0.079771906,0.08922198,-0.1159389,-0.047520626,-0.008297794
0.16307187,0.13989633,-0.106834695,-0.06356606,0.059296634,-0.06957151,-0.02991664,0.00069697946
0.14531943,0.10089879,-0.079986945,-0.042671993,0.07131833,-0.05889757,-0.027053531,0.019065507
0.09625853,0.09469712,-0.06829944,-0.003951393,0.0044214875,-0.0252356,-0.012225818,0.030080542
0.12242844,0.05472035,-0.027080536,0.005655512,-0.0009871051,-0.023811556,0.02213971,0.0715561
0.09327879,0.050930813,-0.016029172,0.01151216,-0.022367552,0.002633363,0.035241835,0.079402514
0.05444417,0.02286247,-0.0013402095,0.05527912,-0.05676046,-0.0028686598,0.06244633,0.08324828
0.052213438,0.028272728,0.012501811,0.06067276,-0.07758346,0.025885679,0.09285608,0.13061103
0.03373467,-0.016814955,0.05622275,0.058114648,-0.091960594,0.04294686,0.07673908,0.13520417
0.020456202,-0.023431517,0.068905376,0.064531684,-0.12932882,0.033585764,0.1377937,0.13591558
0.002594106,-0.06758172,0.06699506,0.10616523,-0.08836359,0.071573615,0.14577328,0.14298368
-0.009171911,-0.08631431,0.09326383,0.111901715,-0.12606832,0.085317865,0.13560231,0.17863527
-0.013364844,-0.08796025,0.08600657,0.100708604,-0.180256,0.13565451,0.1378275,0.17178959
-0.030553166,-0.09499361,0.12544914,0.1148632,-0.18922646,0.13190033,0.16198848,0.17684439
-0.03850946,-0.14215493,0.10958281,0.12722886,-0.19452734,0.14547092,0.15380923,0.18818697
-0.07329307,-0.12093263,0.09864289,0.13124931,-0.23676164,0.16600993,0.17800245,0.17075917
-0.07961786,-0.1313707,0.081830546,0.13462713,-0.27149928,0.15561754,0.13702534,0.20242876
-0.12766522,-0.14771354,0.084113635,0.16306776,-0.3185451,0.1808993,0.15197034,0.22243828
-0.17372975,-0.14638293,0.068760395,0.17981333,-0.35130793,0.16136996,0.122600734,0.24728936
-0.17649114,-0.09267708,0.044300012,0.22200072,-0.38939303,0.13030542,0.0927677,0.282481
-0.18883604,-0.04190304,0.058290422,0.2763273,-0.41859323,0.06733951,0.104954734,0.32607973
-0.19092229,0.048376214,0.07487251,0.33505568,-0.4311015,-0.019506328,0.118689746,0.3649763
-0.14559242,0.1390312,0.076505326,0.434366,-0.35664076,-0.07438695,0.12515517,0.44603777
-0.043930825,0.20408252,0.104697846,0.5786309,-0.20252185,-0.18086173,0.14698668,0.54583645
0.14290985,0.25477317,0.112590015,0.6280081,0.023061939,-0.23610753,0.13604781,0.57230306
0.30853328,0.22250271,0.10164977,0.62164116,0.31202745,-0.20700996,0.13241582,0.56963634
0.42797956,0.16372913,0.12520039,0.5708301,0.49932247,-0.1584909,0.15043934,0.5288821
0.498558,0.10064641,0.2301104,0.38899642,0.5731797,-0.019997746,0.23937398,0.41583398
0.5804411,0.060574207,0.3623983,0.14407644,0.69069076,-0.040878892,0.4042657,0.24886206
